crew_id,Name,Age,Embarked,Position,Crew_Type,Survived,sección_id,Gender
0,"Smith, Commander Edward John, RNR (Retd)",62,Southampton,Captain,Officer,,,male
1,"Wilde, Lieutenant Henry Tingle",39,Southampton,Chief Officer,Officer,,,male
2,"Murdoch, Lieutenant William McMaster, RNR",39,Belfast,First Officer,Officer,,,male
3,"Lightoller, Sub-Lieutenant Charles Herbert, RNR",38,Belfast,Second Officer,Officer,,,male
4,"Pitman, Mr. Herbert John",34,Belfast,Third Officer,Officer,,,male
5,"Lowe, Sub-Lieutenant Harold Godfrey, RNR",29,Belfast,Fifth Officer,Officer,,,male
0,"Anderson, Mr. James",40,Southampton,Able seaman,Deck,,,male
1,"Anderson, Mr. John",41,Southampton,Able seaman,Deck,,,male
2,"Archer, Mr. Ernest Edward",36,Southampton,Able Seaman,Deck,,,male
3,"Bailey, Mr. Joseph Henry",43,Southampton,Master-at-arms,Deck,,,male
4,"Bradley, Mr. T.",29,Southampton,Able Seaman,Deck,,,male
5,"Brice, Mr. Walter T.",42,Southampton,Able Seaman,Deck,,,male
6,"Bright, Mr. Arthur John",41,Southampton,Quartermaster,Deck,,,male
7,"Buley, Mr. Edward John",27,Southampton,Able Seaman,Deck,,,male
8,"Clench, Mr. Frederick",34,Southampton,Able Seaman,Deck,,,male
9,"Callahan, Mr. James",31,Ireland,Able Officer,Deck,,,male
10,"Couch, Mr. Frank",28,Southampton,Able Seaman,Deck,,,male
11,"Davis, Mr. Stephen James",39,Southampton,Able Seaman,Deck,,,male
12,"Evans, Mr. Alfred Frank",24,Southampton,Lookout,Deck,,,male
13,"Evans, Mr. Frank Oliver",24,Southampton,Able Seaman,Deck,,,male
14,"Fleet, Mr. Frederick",24,Belfast,Lookout,Deck,,,male
15,"Foley, Mr. John",44,Belfast,Storekeeper,Deck,,,male
16,"Forward, Mr. James",27,Southampton,Able Seaman,Deck,,,male
17,"Haines, Mr. Albert M.",31,Belfast,Boatswain,Deck,,,male
18,"Harder, Mr. William",39,Southampton,Window cleaner,Deck,,,male
19,"Hemming, Mr. Samuel Ernest",43,Belfast,Lamp trimmer,Deck,,,male
20,"Hichens, Mr. Robert",29,Southampton,Quartermaster,Deck,,,male
21,"Hogg, Mr. George Alfred",29,Belfast,Lookout,Deck,,,male
22,"Holman, Mr. Harry",27,Belfast,Able Seaman,Deck,,,male
23,"Hopkins, Mr. Robert John",40,Southampton,Able Seaman,Deck,,,male
24,"Horswill, Mr. Albert Edward James",33,Southampton,Able Seaman,Deck,,,male
25,"Humphreys, Mr. Sidney James",48,Southampton,Quartermaster,Deck,,,male
26,"Hutchinson, Mr. John Hall",26,Belfast,Carpenter,Deck,,,male
27,"Jewell, Mr. Archie",23,Belfast,Lookout,Deck,,,male
28,"Jones, Mr. Thomas William",32,Southampton,Able Seaman,Deck,,,male
29,"King, Mr. Thomas W.",43,Southampton,Master-at-arms,Deck,,,male
30,"Lee, Mr. Reginald Robinson",41,Southampton,Lookout,Deck,,,male
31,"Lucas, Mr. William A.",25,Southampton,Able Seaman,Deck,,,male
32,"Lyons, Mr. William Henry",26,Southampton,Able Seaman,Deck,,,male
33,"Matherson, Mr. David",30,Southampton,Able Seaman,Deck,,,male
34,"Mathais, Mr. Montague Vincent",27,Southampton,Mess Steward,Deck,,,male
35,"Maxwell, Mr. John",31,Belfast,Carpenter/Joiner,Deck,,,male
36,"McCarthy, Mr. William",47,Southampton,Able Seaman,Deck,,,male
37,"McGough, Mr. James R.",25,Southampton,Able Seaman,Deck,,,male
38,"Moore, Mr. George Alfred",32,Southampton,Able Seaman,Deck,,,male
39,"Nichols, Mr. Alfred",42,Belfast,Boatswain,Deck,,,male
40,"O'Loughlin, Dr. William Francis Norman",62,Belfast,Surgeon,Deck,,,male
41,"Olliver, Mr. Alfred",27,Belfast,Quartermaster,Deck,,,male
42,"Osman, Mr. Frank",28,Southampton,Able Seaman,Deck,,,male
43,"Pascoe, Mr. Charles H.",43,Southampton,Able Seaman,Deck,,,male
44,"Perkis, Mr. Walter John",37,Belfast,Quartermaster,Deck,,,male
45,"Peters, Mr. William Chapman",26,Southampton,Able Seaman,Deck,,,male
46,"Poingdestre, Mr. John Thomas",33,Southampton,Able Seaman,Deck,,,male
47,"Rowe, Mr. George Thomas",32,Belfast,Quartermaster,Deck,,,male
48,"Sawyer, Mr. Robert James",30,Southampton,Window cleaner,Deck,,,male
49,"Scarrott, Mr. Joseph George",33,Southampton,Able Seaman,Deck,,,male
50,"Simpson, Dr. John Edward",37,Southampton,Assistant Surgeon,Deck,,,male
51,"Smith, Mr. William",26,Southampton,Able Seaman,Deck,,,male
52,"Symons, Mr. George Thomas Macdonald",24,Southampton,Lookout,Deck,,,male
53,"Tamlyn, Mr. Frederick",23,Southampton,Mess Steward,Deck,,,male
54,"Taylor, Mr. C.",35,Southampton,Able Seaman,Deck,,,male
55,"Terrell, Mr. Bertram",20,Southampton,Able Seaman,Deck,,,male
56,"Thorley, Mr. Jonathon",15,Southampton,Lamp Trimmer,Deck,,,male
57,"Vigott, Mr. Philip Francis",32,Southampton,Able Seaman,Deck,,,male
58,"Weller, Mr. William Clifford",30,Belfast,Able Seaman,Deck,,,male
59,"Wynn, Mr. Walter",41,Belfast,Quartermaster,Deck,,,male
0,"Abrams, Mr. William",33,Southampton,Fireman,Engineering,,,male
1,"Adams, Mr. R.",26,Southampton,Fireman/Stoker,Engineering,,,male
2,"Allen, Mr. Henry",32,Southampton,Fireman/Stoker,Engineering,,,male
