,Name,Age,Embarked,Position,Crew_Type
0,"Smith, Commander Edward John, RNR (Retd)",62,Southampton,Captain,Officer
1,"Wilde, Lieutenant Henry Tingle",39,Southampton,Chief Officer,Officer
2,"Murdoch, Lieutenant William McMaster, RNR",39,Belfast,First Officer,Officer
3,"Lightoller, Sub-Lieutenant Charles Herbert, RNR",38,Belfast,Second Officer,Officer
4,"Pitman, Mr. Herbert John",34,Belfast,Third Officer,Officer
5,"Lowe, Sub-Lieutenant Harold Godfrey, RNR",29,Belfast,Fifth Officer,Officer
0,"Anderson, Mr. James",40,Southampton,Able seaman,Deck
1,"Anderson, Mr. John",41,Southampton,Able seaman,Deck
2,"Archer, Mr. Ernest Edward",36,Southampton,Able Seaman,Deck
3,"Bailey, Mr. Joseph Henry",43,Southampton,Master-at-arms,Deck
4,"Bradley, Mr. T.",29,Southampton,Able Seaman,Deck
5,"Brice, Mr. Walter T.",42,Southampton,Able Seaman,Deck
6,"Bright, Mr. Arthur John",41,Southampton,Quartermaster,Deck
7,"Buley, Mr. Edward John",27,Southampton,Able Seaman,Deck
8,"Clench, Mr. Frederick",34,Southampton,Able Seaman,Deck
9,"Callahan, Mr. James",31,Ireland,Able Officer,Deck
10,"Couch, Mr. Frank",28,Southampton,Able Seaman,Deck
11,"Davis, Mr. Stephen James",39,Southampton,Able Seaman,Deck
12,"Evans, Mr. Alfred Frank",24,Southampton,Lookout,Deck
13,"Evans, Mr. Frank Oliver",24,Southampton,Able Seaman,Deck
14,"Fleet, Mr. Frederick",24,Belfast,Lookout,Deck
15,"Foley, Mr. John",44,Belfast,Storekeeper,Deck
16,"Forward, Mr. James",27,Southampton,Able Seaman,Deck
17,"Haines, Mr. Albert M.",31,Belfast,Boatswain,Deck
18,"Harder, Mr. William",39,Southampton,Window cleaner,Deck
19,"Hemming, Mr. Samuel Ernest",43,Belfast,Lamp trimmer,Deck
20,"Hichens, Mr. Robert",29,Southampton,Quartermaster,Deck
21,"Hogg, Mr. George Alfred",29,Belfast,Lookout,Deck
22,"Holman, Mr. Harry",27,Belfast,Able Seaman,Deck
23,"Hopkins, Mr. Robert John",40,Southampton,Able Seaman,Deck
24,"Horswill, Mr. Albert Edward James",33,Southampton,Able Seaman,Deck
25,"Humphreys, Mr. Sidney James",48,Southampton,Quartermaster,Deck
26,"Hutchinson, Mr. John Hall",26,Belfast,Carpenter,Deck
27,"Jewell, Mr. Archie",23,Belfast,Lookout,Deck
28,"Jones, Mr. Thomas William",32,Southampton,Able Seaman,Deck
29,"King, Mr. Thomas W.",43,Southampton,Master-at-arms,Deck
30,"Lee, Mr. Reginald Robinson",41,Southampton,Lookout,Deck
31,"Lucas, Mr. William A.",25,Southampton,Able Seaman,Deck
32,"Lyons, Mr. William Henry",26,Southampton,Able Seaman,Deck
33,"Matherson, Mr. David",30,Southampton,Able Seaman,Deck
34,"Mathais, Mr. Montague Vincent",27,Southampton,Mess Steward,Deck
35,"Maxwell, Mr. John",31,Belfast,Carpenter/Joiner,Deck
36,"McCarthy, Mr. William",47,Southampton,Able Seaman,Deck
37,"McGough, Mr. James R.",25,Southampton,Able Seaman,Deck
38,"Moore, Mr. George Alfred",32,Southampton,Able Seaman,Deck
39,"Nichols, Mr. Alfred",42,Belfast,Boatswain,Deck
40,"O'Loughlin, Dr. William Francis Norman",62,Belfast,Surgeon,Deck
41,"Olliver, Mr. Alfred",27,Belfast,Quartermaster,Deck
42,"Osman, Mr. Frank",28,Southampton,Able Seaman,Deck
43,"Pascoe, Mr. Charles H.",43,Southampton,Able Seaman,Deck
44,"Perkis, Mr. Walter John",37,Belfast,Quartermaster,Deck
45,"Peters, Mr. William Chapman",26,Southampton,Able Seaman,Deck
46,"Poingdestre, Mr. John Thomas",33,Southampton,Able Seaman,Deck
47,"Rowe, Mr. George Thomas",32,Belfast,Quartermaster,Deck
48,"Sawyer, Mr. Robert James",30,Southampton,Window cleaner,Deck
49,"Scarrott, Mr. Joseph George",33,Southampton,Able Seaman,Deck
50,"Simpson, Dr. John Edward",37,Southampton,Assistant Surgeon,Deck
51,"Smith, Mr. William",26,Southampton,Able Seaman,Deck
52,"Symons, Mr. George Thomas Macdonald",24,Southampton,Lookout,Deck
53,"Tamlyn, Mr. Frederick",23,Southampton,Mess Steward,Deck
54,"Taylor, Mr. C.",35,Southampton,Able Seaman,Deck
55,"Terrell, Mr. Bertram",20,Southampton,Able Seaman,Deck
56,"Thorley, Mr. Jonathon",15,Southampton,Lamp Trimmer,Deck
57,"Vigott, Mr. Philip Francis",32,Southampton,Able Seaman,Deck
58,"Weller, Mr. William Clifford",30,Belfast,Able Seaman,Deck
59,"Wynn, Mr. Walter",41,Belfast,Quartermaster,Deck
0,"Abrams, Mr. William",33,Southampton,Fireman,Engineering
1,"Adams, Mr. R.",26,Southampton,Fireman/Stoker,Engineering
2,"Allen, Mr. Henry",32,Southampton,Fireman/Stoker,Engineering
3,"Allen, Mr. Ernest Frederick",24,Southampton,Trimmer,Engineering
4,"Allsop, Mr. Alfred Samuel",34,Belfast,Electrician,Engineering
5,"Avery, Mr. James Frank",22,Southampton,Trimmer,Engineering
6,"Bailey, Mr. George W.",46,Southampton,Fireman/Stoker,Engineering
7,"Baines, Mr. Richard",24,Southampton,Greaser,Engineering
8,"Bannon, Mr. John",32,Southampton,Greaser,Engineering
9,"Barlow, Mr. Charles",30,Southampton,Fireman/Stoker,Engineering
10,"Barnes, Mr. Charles",29,Southampton,Fireman/Stoker,Engineering
11,"Barnes, Mr. Frederick",29,Southampton,Fireman/Stoker,Engineering
12,"Barrett, Mr. Frederick",28,Southampton,Leading Fireman,Engineering
13,"Barrett, Mr. Frederick William",33,Southampton,Fireman/Stoker,Engineering
14,"Beattie, Mr. Joseph",34,Belfast,Greaser,Engineering
15,"Beauchamp, Mr. George William",24,Southampton,Fireman/Stoker,Engineering
16,"Bell, Mr. Joseph",50,Belfast,Chief Engineer,Engineering
17,"Bendell, Mr. F.",24,Southampton,Fireman/Stoker,Engineering
18,"Bennett, Mr. George Alfred",30,Southampton,Fireman/Stoker,Engineering
19,"Benville, Mr. E.",42,Southampton,Fireman/Stoker,Engineering
20,"Bessant, Mr. William Edward",39,Southampton,Fireman/Stoker,Engineering
